,IOC,Breeding Range,Order,Family,Catalan
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,estruç comú
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,estruç de Somàlia
2,Rhea americana,SA,RHEIFORMES,Rheidae,nyandú comú
3,Rhea pennata,SA,RHEIFORMES,Rheidae,nyandú de Darwin
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,kiwi bru de l'illa Sud
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,kiwi bru de l'illa Nord
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,kiwi d'Okarito
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,kiwi tacat petit
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,kiwi tacat gros
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,casuari comú
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,casuari de Bennett
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,casuari unicarunculat
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emú comú
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,tinamú gris
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,tinamú solitari
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,tinamú negre
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,tinamú olivaci
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,tinamú pigallat
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,tinamú de Bonaparte
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,tinamú cap-roig
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,tinamú encaputxat
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,tinamú de Berlepsch
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,tinamú cendrós
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,tinamú petit
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,tinamú dels tepuis
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,tinamú bru
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,tinamú ondulat
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,tinamú cellut
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,tinamú del Brasil
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,tinamú camagrís
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,tinamú cama-roig
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,tinamú camagroc
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,tinamú de casquet
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,tinamú canyella
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,tinamú pissarrós
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,tinamú del Chocó
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,tinamú bigarrat
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,tinamú rovellat
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,tinamú de Bartlett
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,tinamú de bec curt
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,tinamú barrat
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,tinamú tataupà
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,tinamú d'ales vermelloses
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,tinamú colltacat
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,tinamú de Taczanowski
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,tinamú ornat
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,tinamú de Xile
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,tinamú feréstec
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,tinamú dels Andes
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,tinamú de bec corbat
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,tinamú ventreblanc
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,tinamú menor
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,tinamú de Darwin
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,tinamú tacat
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,tinamú nan
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,tinamú crestat elegant
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,tinamú crestat del Chaco
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,tinamú de la Puna
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,tinamú de la Patagònia
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,txajà banyut
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,txajà collnegre
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,txajà emplomallat
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,oca garsera
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,ànec arbori carablanc
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,ànec arbori bec-roig
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,ànec arbori clapejat
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,ànec arbori bicolor
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,ànec arbori d'Eyton
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,ànec arbori de casquet
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,ànec arbori menut
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,ànec cabusset
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,oca cendrosa
