,IOC,Breeding Range,Order,Family,Chinese (Traditional)
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,鴕鳥
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,索馬利亞鴕鳥
2,Rhea americana,SA,RHEIFORMES,Rheidae,大美洲鴕
3,Rhea pennata,SA,RHEIFORMES,Rheidae,小美洲鴕
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,南方褐鷸鴕
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,北島褐鷸鴕
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,奧卡里多褐鷸鴕
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,小斑鷸鴕
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,大斑鷸鴕
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,雙垂鶴鴕
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,侏鶴鴕
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,單垂鶴鴕
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,鴯鶓
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,灰(共鳥)
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,孤(共鳥)
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,黑(共鳥)
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,大(共鳥)
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,白喉(共鳥)
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,高原林(共鳥)
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,茶胸林(共鳥)
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,冠林(共鳥)
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,巴勒氏穴(共鳥)
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,灰穴(共鳥)
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,小穴(共鳥)
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,灰喉穴(共鳥)
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,褐穴(共鳥)
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,波斑穴(共鳥)
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,蒼眉穴(共鳥)
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,巴西穴(共鳥)
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,灰足穴(共鳥)
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,紅足穴(共鳥)
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,黃足穴(共鳥)
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,黑頂穴(共鳥)
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,棕穴(共鳥)
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,灰胸穴(共鳥)
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,喬科穴(共鳥)
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,雜色穴(共鳥)
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,鏽色穴(共鳥)
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,巴特氏穴(共鳥)
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,小嘴穴(共鳥)
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,斑穴(共鳥)
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,塔陶巴穴(共鳥)
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,紅翅(共鳥)
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,懷科紅翅(共鳥)
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,高山鴇尾(共鳥)
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,麗色鴇尾(共鳥)
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,智利鴇尾(共鳥)
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,灰鴇尾(共鳥)
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,安地斯鴇尾(共鳥)
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,彎嘴鴇尾(共鳥)
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,白腹擬(共鳥)
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,小擬(共鳥)
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,達爾文擬(共鳥)
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,斑擬(共鳥)
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,侏(共鳥)
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,鳳頭(共鳥)
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,麗色鳳頭(共鳥)
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,普納高原(共鳥)
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,巴塔哥尼亞高原(共鳥)
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,角叫鴨
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,黑頸叫鴨〔北方叫鴨〕
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,冠叫鴨〔南方叫鴨〕
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,鵲鵝
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,白臉樹鴨
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,紅嘴樹鴨
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,細斑樹鴨
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,草黃樹鴨
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,尖羽樹鴨
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,胸斑樹鴨
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,樹鴨〔栗樹鴨〕
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,白背鴨
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,臘嘴雁
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,黑雁
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,紅胸黑雁
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,夏威夷雁〔黃頸黑雁〕
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,白頰黑雁
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,斑頭雁
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,皇雁
78,Anser anser,PAL,ANSERIFORMES,Anatidae,灰雁
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,鴻雁
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,寒林豆雁
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,粉腳雁
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,凍原豆雁
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,白額雁
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,小白額雁
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,扁嘴天鵝
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,黑天鵝
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,黑頸天鵝
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,疣鼻天鵝〔赤嘴天鵝〕
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,小天鵝
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,黃嘴天鵝〔大天鵝〕
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,點斑鴨
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,山藍鴨
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,花斑船鴨
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,灰船鴨
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,短翅船鴨
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,白頭船鴨
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,湍鴨
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,距翅雁
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,南美瘤鴨
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,瘤鴨
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,藍翅雁
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,埃及雁
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,綠翅雁
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,黑翅草雁
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,斑脇草雁
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,白草雁
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,灰頭草雁
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,棕頭草雁
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,白腹麻鴨
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,花鳧〔翹鼻麻鴨〕
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,瀆鳧〔黃麻鴨，赤麻鴨〕
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,灰頭麻鴨
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,棕胸麻鴨
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,黑胸麻鴨
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,紅耳鴨
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,花紋鴨
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,疣鼻棲鴨
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,白翅棲鴨
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,藍翅棲鴨
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,鴛鴦
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,鬃林鴨
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,厚嘴棉鴨
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,棉鴨
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,綠棉鴨
