,IOC,Breeding Range,Order,Family,Chinese
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,非洲鸵鸟
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,灰颈鸵鸟
2,Rhea americana,SA,RHEIFORMES,Rheidae,大美洲鸵
3,Rhea pennata,SA,RHEIFORMES,Rheidae,小美洲鸵
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,褐几维
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,北岛褐几维
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,白眶几维
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,小斑几维
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,大斑几维
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,双垂鹤鸵
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,侏鹤鸵
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,单垂鹤鸵
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,鸸鹋
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,灰䳍
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,孤䳍
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,黑䳍
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,大䳍
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,白喉䳍
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,黑头林䳍
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,红头林䳍
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,灰头白喉林䳍
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,伯氏穴䳍
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,灰穴䳍
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,小穴䳍
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,灰喉穴䳍
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,褐穴䳍
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,波斑穴䳍
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,淡眉穴䳍
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,巴西穴䳍
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,灰腿穴䳍
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,红脚穴䳍
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,黄腿穴䳍
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,黑顶穴䳍
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,棕穴䳍
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,灰胸穴䳍
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,乔科穴䳍
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,杂色穴䳍
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,锈栗穴䳍
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,巴氏穴䳍
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,小嘴穴䳍
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,斑穴䳍
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,塔陶穴䳍
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,红翅䳍
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,哨音红翅䳍
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,高山斑䳍
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,丽色斑䳍
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,智利斑䳍
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,灰斑䳍
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,安第斯斑䳍
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,弯嘴斑䳍
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,白腹拟䳍
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,小拟䳍
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,达尔文拟䳍
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,斑拟䳍
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,侏䳍
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,凤头䳍
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,棕凤头䳍
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,北山䳍
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,南山䳍
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,角叫鸭
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,黑颈冠叫鸭
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,冠叫鸭
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,鹊雁
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,白脸树鸭
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,黑腹树鸭
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,细斑树鸭
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,茶色树鸭
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,尖羽树鸭
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,斑胸树鸭
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,栗树鸭
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,白背鸭
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,澳洲灰雁
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,黑雁
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,红胸黑雁
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,夏威夷黑雁
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,白颊黑雁
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,斑头雁
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,帝雁
78,Anser anser,PAL,ANSERIFORMES,Anatidae,灰雁
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,鸿雁
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,豆雁
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,粉脚雁
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,短嘴豆雁
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,白额雁
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,小白额雁
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,扁嘴天鹅
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,黑天鹅
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,黑颈天鹅
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,疣鼻天鹅
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,小天鹅
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,大天鹅
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,澳洲斑鸭
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,山鸭
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,花斑船鸭
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,灰船鸭
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,短翅船鸭
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,白头船鸭
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,湍鸭
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,距翅雁
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,美洲瘤鸭
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,瘤鸭
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,蓝翅雁
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,埃及雁
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,绿翅雁
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,黑翅草雁
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,斑胁草雁
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,白草雁
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,灰头草雁
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,棕头草雁
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,白腹麻鸭
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,翘鼻麻鸭
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,赤麻鸭
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,灰头麻鸭
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,棕胸麻鸭
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,黑胸麻鸭
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,红耳鸭
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,花纹鸭
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,疣鼻栖鸭
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,白翅栖鸭
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,黑头凫
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,鸳鸯
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,鬃林鸭
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,厚嘴棉凫
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,棉凫
