,IOC,Breeding Range,Order,Family,Croatian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,noj
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,somalijski noj
2,Rhea americana,SA,RHEIFORMES,Rheidae,veliki nandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,mali nandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,mrki kivi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,smeđi kivi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,sivoglavi kivi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,mali kivi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,pjegavi kivi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,veliki kazuar
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,mali kazuar
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,šarenovrati kazuar
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,sivi tinamu
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,paragvajski tinamu
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,crni tinamu
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,maslinasti tinamu
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,pjegavi tinamu
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,bonaparteov tinamu
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,bjelogrli tinamu
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,crnoglavi tinamu
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,ekvadorski tinamu
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,pepeljasti tinamu
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,mali tinamu
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,tepujski tinamu
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,smeđi tinamu
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,prugasti tinamu
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,obrvasti tinamu
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,brazilski tinamu
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,sivonogi tinamu
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,crvenonogi tinamu
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,žutonogi tinamu
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,tamnokapi tinamu
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,cimetasti tinamu
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,srednjoamerički tinamu
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,mrki tinamu
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,riđovrati tinamu
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,riđi tinamu
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,barlettov tinamu
