,IOC,Breeding Range,Order,Family,Czech
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,pštros dvouprstý
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,pštros somálský
2,Rhea americana,SA,RHEIFORMES,Rheidae,nandu pampový
3,Rhea pennata,SA,RHEIFORMES,Rheidae,nandu menší
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,kivi jižní
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,kivi hnědý
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,kivi okaritský
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,kivi malý
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,kivi horský
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,kasuár přílbový
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,kasuár menší
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,kasuár jednolaločný
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu hnědý
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,tinama tao
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,tinama samotářská
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,tinama černá
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,tinama větší
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,tinama tečkovaná
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,tinama horská
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,tinama bronzovoprsá
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,tinama tmavohlavá
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,tinama Berlepschova
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,tinama podrostní
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,tinama malá
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,tinama tepuiová
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,tinama hnědá
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,tinama vlnkovaná
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,tinama světlebrvá
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,tinama brazilská
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,tinama šedonohá
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,tinama rudonohá
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,tinama žlutonohá
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,tinama černotemenná
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,tinama skořicová
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,tinama středoamerická
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,tinama kolumbijská
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,tinama různobarvá
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,tinama pralesní
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,tinama Bartlettova
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,tinama malozobá
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,tinama páskovaná
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,tinama tataupa
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,tinama inambu
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,tinama skvrnitokrká
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,tinama Taczanowského
