,IOC,Breeding Range,Order,Family,Danish
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Struds
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Somalistruds
2,Rhea americana,SA,RHEIFORMES,Rheidae,Nandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Lille Nandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Brun Kiwi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Nordlig Kiwi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Okarito Kiwi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Dværgkiwi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Stor Kiwi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Hjelmkasuar
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Dværgkasuar
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Nordlig Kasuar
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Grå Tinamu
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Olivengrå Tinamu
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Gråsort Tinamu
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Stor Tinamu
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Gråisset Tinamu
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Bjergskovstinamu
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Rødhovedet Tinamu
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Hættetinamu
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Sorttinamu
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Asketinamu
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Lille Tinamu
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Tepuítinamu
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Brun Tinamu
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Bølgetinamu
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Lysbrynet Tinamu
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Brasiliansk Tinamu
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Gråbenet Tinamu
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Rødbenet Tinamu
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Gulbenet Tinamu
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Sodkronet Tinamu
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Krattinamu
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Gråbrystet Tinamu
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Chocótinamu
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Sorthovedet Tinamu
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Rustfarvet Tinamu
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Bartletts Tinamu
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,Kortnæbbet Tinamu
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Båndtinamu
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Tataupatinamu
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,Pampashøne
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Huaycotinamu
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Stor Bjergtinamu
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Bjergtinamu
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,Chiletinamu
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,Mørkvinget Tinamu
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,Andestinamu
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,Seglnæbbet Tinamu
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,Hvidbuget Vagteltinamu
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,Vagteltinamu
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,Andesvagteltinamu
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,Plettet Vagteltinamu
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,Dværgtinamu
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,Toptinamu
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,Quebracho-toptinamu
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,Punatinamu
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,Patagonsk Tinamu
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,Anhima
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,Toppet Chaja
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,Sorthalset Chaja
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,Skadegås
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,Nonnetræand
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,Sortbuget Træand
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,Plettet Træand
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,Okkertræand
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,Australsk Træand
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,Rustfarvet Træand
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,Lille Træand
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,Lappedykkerand
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Hønsegås
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Knortegås
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Rødhalset Gås
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Hawaiigås
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Bramgås
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Indisk Gås
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Kejsergås
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Grågås
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Svanegås
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Sædgås
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Kortnæbbet Gås
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Tundrasædgås
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Blisgås
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Dværggås
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Coscorobasvane
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Sortsvane
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Sorthalset Svane
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Knopsvane
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Pibesvane
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Sangsvane
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Spættet And
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Newzealandsk Strømand
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Flyvende Kæmpeand
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Duck Kæmpeand
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Duck Falklandkæmpeand
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Duck Chubutkæmpeand
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Skalleslugerand
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Sporegås
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Amerikansk Knopgås
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Knopgås
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Blåvinget Gås
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Nilgås
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Orinocogås
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,Andesgås
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Magellangås
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Tanggås
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,Gråhovedet Gås
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,Rødhovedet Gås
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,Radjahgravand
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,Gravand
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,Rustand
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,Sydafrikansk Gravand
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,Australsk Gravand
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Paradisgravand
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,Zebraand
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Papuastrømand
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,Moskusand
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,Hvidvinget Skovand
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Afrikansk Skovand
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,Mandarin-and
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,Mankegås
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,Afrikansk Dværgand
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,Indisk Dværgand
