,IOC,Breeding Range,Order,Family,Dutch
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Struisvogel
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Somalische Struisvogel
2,Rhea americana,SA,RHEIFORMES,Rheidae,Nandoe
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Darwins Nandoe
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Zuidelijke Bruine Kiwi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Noordelijke Bruine Kiwi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Rowi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Kleine Grijze Kiwi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Grote Grijze Kiwi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Helmkasuaris
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Dwergkasuaris
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Oranjehalskasuaris
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Emoe
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Grijze Tinamoe
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Kluizenaarstinamoe
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Zwarte Tinamoe
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Grote Tinamoe
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Witkeeltinamoe
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Bergtinamoe
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Roodkoptinamoe
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Zwartkaptinamoe
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Berlepsch' Tinamoe
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Grauwe Tinamoe
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Kleine Tinamoe
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Tepuitinamoe
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Bruine Tinamoe
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Marmertinamoe
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Wenkbrauwtinamoe
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Braziliaanse Tinamoe
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Grijspoottinamoe
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Roodpoottinamoe
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Geelpoottinamoe
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Zwartkoptinamoe
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Struiktinamoe
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Grijsborsttinamoe
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Chocótinamoe
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Bonte Tinamoe
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Rosse Tinamoe
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Bartletts Tinamoe
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,Kortsnaveltinamoe
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Gebandeerde Tinamoe
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Tataupatinamoe
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,Pampahoen
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Huaycotinamoe
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Taczanowski's Tinamoe
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Pisaccatinamoe
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,Chileense Tinamoe
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,Cordobatinamoe
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,Andestinamoe
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,Krombektinamoe
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,Witbuiknothura
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,Kleine Nothura
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,Darwins Nothura
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,Gevlekte Nothura
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,Dwergtinamoe
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,Kuiftinamoe
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,Quebrachotinamoe
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,Punatinamoe
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,Patagonische Tinamoe
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,Anioema
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,Witwanghoenderkoet
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,Kuifhoenderkoet
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,Ekstergans
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,Witwangfluiteend
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,Zwartbuikfluiteend
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,Gevlekte Fluiteend
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,Rosse Fluiteend
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,Australische Fluiteend
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,Zwervende Fluiteend
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,Indische Fluiteend
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,Witrugeend
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Hoendergans
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Rotgans
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Roodhalsgans
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Hawaiigans
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Brandgans
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Indische Gans
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Keizergans
