,IOC,Breeding Range,Order,Family,Estonian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,jaanalind
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,somaali jaanalind
2,Rhea americana,SA,RHEIFORMES,Rheidae,nandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,väikenandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,pruunkiivi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,triipkiivi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,okarito kiivi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,väikekiivi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,täpikkiivi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,kiiverkaasuar
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,väikekaasuar
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,kaeluskaasuar
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,halltinamu
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,eraktinamu
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,musttinamu
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,suurtinamu
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,helmestinamu
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,bambusetinamu
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,välutinamu
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,karbustinamu
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,nõgi-metstinamu
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,tõmmu-metstinamu
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,väike-metstinamu
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,tepui-metstinamu
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,pruun-metstinamu
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,vile-metstinamu
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,valgekulm-metstinamu
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,punakael-metstinamu
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,halljalg-metstinamu
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,punajalg-metstinamu
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,tanu-metstinamu
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,tumekiird-metstinamu
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,põhja-metstinamu
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,kariibi metstinamu
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,kolumbia metstinamu
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,mustpea-metstinamu
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,lammi-metstinamu
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,ruske-metstinamu
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,lühinokk-metstinamu
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,punapea-metstinamu
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,tataupa-metstinamu
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,pampatinamu
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,lääne-pampatinamu
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,peruu mägitinamu
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,põld-mägitinamu
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,tšiili mägitinamu
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,viir-mägitinamu
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,redu-mägitinamu
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,paramo-mägitinamu
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,kaatinga-triiptinamu
