,IOC,Breeding Range,Order,Family,Finnish
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,strutsi
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,somalianstrutsi
2,Rhea americana,SA,RHEIFORMES,Rheidae,nandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,patagoniannandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,eteläsaarenruskokiivi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,pohjoissaarenruskokiivi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,okaritonruskokiivi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,pikkukiivi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,kirjokiivi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,kypäräkasuaari
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,pikkukasuaari
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,isokasuaari
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,harmaatinami
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,erakkotinami
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,mustatinami
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,isotinami
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,helmitinami
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,vuoritinami
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,keltarintatinami
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,hupputinami
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,nokitinami
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,punapäätinami
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,pikkutinami
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,venezuelantinami
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,ruskotinami
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,huhuilijatinami
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,valkokulmatinami
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,brasiliantinami
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,harmaajalkatinami
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,punajalkatinami
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,keltajalkatinami
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,nokipäätinami
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,tiheikkötinami
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,huilutinami
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,baudovuortentinami
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,punarintatinami
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,isohuittitinami
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,amazoniantinami
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,nykerötinami
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,juovatinami
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,huittitinami
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,pampatinami
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,laaksotinami
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,peruntinami
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,pyytinami
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,chilentinami
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,pensastinami
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,andientinami
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,käyränokkatinami
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,isoviiriäistinami
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,viiriäistinami
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,darwinintinami
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,viirutinami
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,kääpiötinami
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,töyhtötinami
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,suomutöyhtötinami
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,punantinami
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,patagoniantinami
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,sarviromisko
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,kolumbianromisko
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,töyhtöromisko
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,puuhanhi
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,naamioviheltäjäsorsa
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,punaviheltäjäsorsa
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,täpläviheltäjäsorsa
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,ruskoviheltäjäsorsa
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,sirppiviheltäjäsorsa
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,suomuviheltäjäsorsa
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,intianviheltäjäsorsa
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,lampisorsa
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,tuhkahanhi
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,sepelhanhi
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,punakaulahanhi
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,havaijinhanhi
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,valkoposkihanhi
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,tiibetinhanhi
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,beringinhanhi
78,Anser anser,PAL,ANSERIFORMES,Anatidae,merihanhi
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,joutsenhanhi
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,metsähanhi
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,lyhytnokkahanhi
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Tundra Bean Goose
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,tundrahanhi
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,kiljuhanhi
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,ankkajoutsen
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,mustajoutsen
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,mustakaulajoutsen
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,kyhmyjoutsen
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,pikkujoutsen
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,laulujoutsen
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,tuhkasorsa
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,vuorisorsa
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,pilkkaviuhtoja
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,isoviuhtoja
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,tyrskyviuhtoja
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,valkopääviuhtoja
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,koskisorsa
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,kynsihanhi
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Comb Duck
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,kyhmysorsa
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,etiopianhansu
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,afrikanhanhi
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,amazonianhanhi
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,andienhansu
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,valkopäähansu
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,tulimaanhansu
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,harmaapäähansu
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,punapäähansu
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,pulmussorsa
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,ristisorsa
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,ruostesorsa
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,kapinsorsa
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,australiansorsa
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,paratiisisorsa
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,liuskanokkasorsa
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,papuansorsa
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,myskisorsa
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,sumatransorsa
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,kanelisorsa
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,mandariinisorsa
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,lyijysorsa
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,afrikankääpiösorsa
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,aasiankääpiösorsa
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,australiankääpiösorsa
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,brasiliantavi
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,pisamatavi
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,tukkasorsa
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,sepelsorsa
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,siperiantavi
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,heinätavi
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,pikkutavi
132,Spatula puna,SA,ANSERIFORMES,Anatidae,ylänkötavi
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,kalottitavi
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,argentiinanlapasorsa
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,punatavi
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,kapinlapasorsa
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,australianlapasorsa
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,lapasorsa
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,harmaasorsa
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,sirppisorsa
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,haapana
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,patagonianhaapana
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,afrikannokisorsa
144,Anas undulata,AF,ANSERIFORMES,Anatidae,keltanokkasorsa
