,IOC,Breeding Range,Order,Family,French
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Autruche d’Afrique
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Autruche de Somalie
2,Rhea americana,SA,RHEIFORMES,Rheidae,Nandou d’Amérique
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Nandou de Darwin
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Kiwi austral
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Kiwi de Mantell
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Kiwi d’Okarito
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Kiwi d’Owen
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Kiwi roa
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Casoar à casque
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Casoar de Bennett
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Casoar unicaronculé
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Émeu d’Australie
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Tinamou tao
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Tinamou solitaire
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Tinamou noir
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Grand Tinamou
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Tinamou à gorge blanche
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Tinamou de Bonaparte
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Tinamou à tête rousse
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Tinamou à capuchon
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Tinamou de Berlepsch
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Tinamou cendré
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Tinamou soui
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Tinamou des tépuis
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Tinamou brun
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Tinamou vermiculé
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Tinamou à grands sourcils
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Tinamou oariana
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Tinamou de Zimmer
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Tinamou à pieds rouges
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Tinamou noctivague
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Tinamou à calotte noire
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Tinamou cannelle
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Tinamou de Boucard
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Tinamou de Kerr
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Tinamou varié
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Tinamou rubigineux
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Tinamou de Bartlett
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,Tinamou à petit bec
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Tinamou barré
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Tinamou tataupa
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,Tinamou isabelle
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Tinamou huayco
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Tinamou de Taczanowski
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Tinamou orné
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,Tinamou perdrix
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,Tinamou sauvageon
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,Tinamou des Andes
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,Tinamou curvirostre
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,Tinamou boraquira
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,Petit Tinamou
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,Tinamou de Darwin
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,Tinamou tacheté
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,Tinamou carapé
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,Tinamou élégant
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,Tinamou superbe
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,Tinamou quioula
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,Tinamou de Patagonie
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,Kamichi cornu
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,Kamichi chavaria
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,Kamichi à collier
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,Canaroie semipalmée
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,Dendrocygne veuf
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,Dendrocygne à ventre noir
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,Dendrocygne tacheté
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,Dendrocygne fauve
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,Dendrocygne d’Eyton
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,Dendrocygne à lunules
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,Dendrocygne siffleur
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,Dendrocygne à dos blanc
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Céréopse cendré
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Bernache cravant
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Bernache à cou roux
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Bernache néné
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Bernache nonnette
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Oie à tête barrée
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Oie empereur
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Oie cendrée
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Oie cygnoïde
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Oie des moissons
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Oie à bec court
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Oie de la toundra
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Oie rieuse
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Oie naine
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Coscoroba blanc
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Cygne noir
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Cygne à cou noir
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Cygne tuberculé
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Cygne siffleur
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Cygne chanteur
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Stictonette tachetée
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Canard bleu
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Brassemer de Patagonie
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Brassemer cendré
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Brassemer des Malouines
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Brassemer à tête blanche
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Merganette des torrents
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Oie-armée de Gambie
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Canard sylvicole
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Canard à bosse
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Cyanoie à ailes bleues
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Ouette d’Égypte
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Ouette de l’Orénoque
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,Ouette des Andes
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Ouette de Magellan
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Ouette marine
