,IOC,Breeding Range,Order,Family,German
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Strauß
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Somalistrauß
2,Rhea americana,SA,RHEIFORMES,Rheidae,Nandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Darwinnandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Südstreifenkiwi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Nordstreifenkiwi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Okaritokiwi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Zwergkiwi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Haastkiwi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Helmkasuar
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Bennettkasuar
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Einlappenkasuar
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Taotinamu
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Zimttinamu
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Schwarztinamu
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Großtinamu
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Weißkehltinamu
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Bergtinamu
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Gelbbrusttinamu
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Kapuzentinamu
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Berlepschtinamu
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Grautinamu
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Brauntinamu
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Tepuitinamu
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Kastanientinamu
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Wellentinamu
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Brauentinamu
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Rotkehltinamu
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Graufußtinamu
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Rotfußtinamu
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Gelbfußtinamu
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Schwarzkappentinamu
