,IOC,Breeding Range,Order,Family,Indonesian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Common Ostrich
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Somali Ostrich
2,Rhea americana,SA,RHEIFORMES,Rheidae,Greater Rhea
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Lesser Rhea
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Southern Brown Kiwi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,North Island Brown Kiwi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Okarito Kiwi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Little Spotted Kiwi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Great Spotted Kiwi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Kasuari gelambir-ganda
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Kasuari kerdil
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Kasuari gelambir-tunggal
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Grey Tinamou
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Solitary Tinamou
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Black Tinamou
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Great Tinamou
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,White-throated Tinamou
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Highland Tinamou
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Tawny-breasted Tinamou
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Hooded Tinamou
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Berlepsch's Tinamou
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Cinereous Tinamou
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Little Tinamou
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Tepui Tinamou
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Brown Tinamou
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Undulated Tinamou
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Pale-browed Tinamou
