,IOC,Breeding Range,Order,Family,Italian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Struzzo
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Struzzo somalo
2,Rhea americana,SA,RHEIFORMES,Rheidae,Nandù
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Nandù minore
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Kiwi bruno meridionale
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Kiwi bruno settentrionale
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Kiwi bruno di Okarito
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Kiwi macchiato minore
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Kiwi macchiato maggiore
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Casuario meridionale
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Casuario nano
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Casuario settentrionale
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Emù
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Tinamo grigio
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Tinamo solitario
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Tinamo nero
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Tinamo grosso
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Tinamo golabianca
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Tinamo delle alture
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Tinamo pettofulvo
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Tinamo monaco
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Tinamo di Berlepsch
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Tinamo cenerino
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Tinamo piccolo
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Tinamo dei tepui
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Tinamo bruno
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Tinamo vermicolato
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Tinamo dai sopraccigli
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Tinamo del Brasile
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Tinamo zampegrigie
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Tinamo zamperosse
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Tinamo zampegialle
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Tinamo capinero
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Tinamo di boscaglia
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Tinamo pettoardesia
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Tinamo del Chocò
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Tinamo variegato
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Tinamo rugginoso
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Tinamo di Bartlett
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,Tinamo beccopiccolo
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Tinamo barrato
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Tinamo tataupa
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,Tinamo alirosse
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Tinamo degli huayco
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Tinamo di Taczanowski
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Tinamo ornato
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,Tinamo del Cile
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,Tinamo di macchia
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,Tinamo delle Ande
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,Tinamo beccocurvo
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,Tinamo panciabianca
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,Tinamo minore
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,Tinamo di Darwin
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,Tinamo macchiato
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,Tinamo nano
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,Martinetta dal ciuffo
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,Martinetta del quebracho
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,Tinamo della puna
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,Tinamo di Patagonia
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,Kaimichi cornuto
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,Kaimichi settentrionale
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,Kaimichi meridionale
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,Oca gazza
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,Dendrocigna facciabianca
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,Dendrocigna pancianera
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,Dendrocigna macchiata
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,Dendrocigna fulva
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,Dendrocigna falcata
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,Dendrocigna errante
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,Dendrocigna indiana
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,Anatra dorsobianco
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Oca di Cape Barren
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Oca colombaccio
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Oca collorosso
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Oca delle Hawaii
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Oca facciabianca
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Oca indiana
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Oca imperatrice
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Oca selvatica
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Oca cigno
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Oca granaiola della taiga
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Oca zamperosee
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Oca granaiola della tundra
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Oca lombardella
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Oca lombardella minore
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Cigno coscoroba
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Cigno nero
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Cigno collonero
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Cigno reale
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Cigno minore
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Cigno selvatico
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Anatra lentigginosa
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Anatra blu
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Anatra vaporiera volatrice
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Anatra vaporiera di Magellano
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Anatra vaporiera delle Falkland
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Anatra vaporiera testabianca
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Anatra di torrente
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Oca dallo sperone
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Comb Duck
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Oca dal bernoccolo
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Oca aliazzurre
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Oca egiziana
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Oca dell'Orinoco
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,Oca delle Ande
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Oca di Magellano
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Oca del kelp
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,Oca testagrigia
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,Oca testarossiccia
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,Casarca del ragià
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,Volpoca
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,Casarca
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,Casarca del Sudafrica
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,Casarca australiana
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Casarca del paradiso
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,Anatra guancerosa
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Anatra di Salvadori
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,Anatra muta
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,Anatra alibianche
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Anatra di Hartlaub
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,Anatra mandarina
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,Anatra crinita
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,Oca pigmea africana
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,Oca pigmea indiana
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,Oca pigmea verde
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,Anatra del Brasile
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,Anatra dagli anelli
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,Anatra crestata
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,Anatra dagli occhiali
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,Alzavola asiatica
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,Marzaiola
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,Alzavola ottentotta
132,Spatula puna,SA,ANSERIFORMES,Anatidae,Alzavola della puna
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,Alzavola argentata
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Mestolone rosso
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,Alzavola cannella
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,Mestolone del Capo
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,Mestolone australiano
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,Mestolone
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,Canapiglia
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,Anatra falcata
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,Fischione
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,Fischione del Cile
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,Germano nero africano
144,Anas undulata,AF,ANSERIFORMES,Anatidae,Germano beccogiallo
145,Anas melleri,AF,ANSERIFORMES,Anatidae,Germano di Meller
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,Germano del Pacifico
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,Germano di Laysan
