,IOC,Breeding Range,Order,Family,Japanese
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,ダチョウ
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,ソマリアダチョウ
2,Rhea americana,SA,RHEIFORMES,Rheidae,レア
3,Rhea pennata,SA,RHEIFORMES,Rheidae,ダーウィンレア
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,キーウィ
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,ホクトウキーウィ
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,オカリトキーウィ
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,コマダラキーウィ
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,オオマダラキーウィ
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,ヒクイドリ
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,コヒクイドリ
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,パプアヒクイドリ
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,エミュー
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,ハイイロシギダチョウ
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,オバシギダチョウ
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,クロシギダチョウ
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,オオシギダチョウ
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,ノドジロシギダチョウ
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,タカネシギダチョウ
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,チャバラシギダチョウ
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,コモンシギダチョウ
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,ススグロシギダチョウ
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,ムジシギダチョウ
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,コシギダチョウ
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,メジロシギダチョウ
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,チャイロシギダチョウ
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,シロハラシギダチョウ
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,マミジロシギダチョウ
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,ブラジルシギダチョウ
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,アオアシシギダチョウ
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,アカアシシギダチョウ
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,キアシシギダチョウ
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,ズグロシギダチョウ
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,ヤブシギダチョウ
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,モリシギダチョウ
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,コシジマシギダチョウ
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,ムネアカシギダチョウ
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,アマゾンシギダチョウ
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,オトメシギダチョウ
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,コバシシギダチョウ
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,トラフシギダチョウ
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,ヒメシギダチョウ
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,アカバネシギダチョウ
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,ニシアカバネシギダチョウ
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,ハシナガシギダチョウ
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,ゴマダラシギダチョウ
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,チリシギダチョウ
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,アレチシギダチョウ
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,アンデスシギダチョウ
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,ハシボソシギダチョウ
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,ウズラシギダチョウ
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,ヒメウズラシギダチョウ
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,ダーウィンシギダチョウ
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,マダラシギダチョウ
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,マメシギダチョウ
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,カンムリシギダチョウ
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,ミコシギダチョウ
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,ミツユビシギダチョウ
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,パタゴニアシギダチョウ
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,ツノサケビドリ
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,クロエリサケビドリ
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,カンムリサケビドリ
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,カササギガン
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,シロガオリュウキュウガモ
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,アカハシリュウキュウガモ
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,シラボシリュウキュウガモ
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,アカリュウキュウガモ
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,カザリリュウキュウガモ
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,オオリュウキュウガモ
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,リュウキュウガモ
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,コシジロガモ
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,ロウバシガン
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,コクガン
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,アオガン
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,ハワイガン
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,カオジロガン
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,インドガン
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,ミカドガン
78,Anser anser,PAL,ANSERIFORMES,Anatidae,ハイイロガン
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,サカツラガン
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,ニシヒシクイ
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,コザクラバシガン
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,ヒシクイ
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,マガン
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,カリガネ
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,カモハクチョウ
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,コクチョウ
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,クロエリハクチョウ
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,コブハクチョウ
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,コハクチョウ
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,オオハクチョウ
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,ゴマフガモ
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,アオヤマガモ
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,トビフナガモ
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,オオフナガモ
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,フナガモ
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,アルゼンチンフナガモ
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,ヤマガモ
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,ツメバガン
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,アメリカコブガモ
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,コブガモ
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,アオバコバシガン
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,エジプトガン
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,オリノコガン
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,アンデスガン
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,マゼランガン
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,シロコバシガン
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,コバシガン
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,チャガシラコバシガン
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,シロガシラツクシガモ
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,ツクシガモ
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,アカツクシガモ
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,ネズミガシラツクシガモ
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,クビワアカツクシガモ
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,クロアカツクシガモ
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,サザナミオオハシガモ
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,サザナミガモ
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,ノバリケン
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,ハジロモリガモ
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,シラガガモ
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,オシドリ
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,タテガミガン
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,アフリカマメガン
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,ナンキンオシ
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,アオマメガン
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,アカアシコガモ
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,クビワコガモ
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,カンムリガモ
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,ノドジロガモ
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,トモエガモ
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,シマアジ
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,アフリカコガモ
132,Spatula puna,SA,ANSERIFORMES,Anatidae,プナシマアジ
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,ギンイロシマアジ
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,アカハシビロガモ
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,アカシマアジ
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,ケープハシビロガモ
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,ミカヅキハシビロガモ
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,ハシビロガモ
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,オカヨシガモ
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,ヨシガモ
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,ヒドリガモ
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,ワキアカヒドリ
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,シラボシガモ
144,Anas undulata,AF,ANSERIFORMES,Anatidae,キバシガモ
145,Anas melleri,AF,ANSERIFORMES,Anatidae,マダガスカルガモ
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,マミジロカルガモ
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,レイサンマガモ
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,ハワイマガモ
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,アカノドカルガモ
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,アカボシカルガモ
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,カルガモ
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,マガモ
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,メキシコガモ
154,Anas capensis,AF,ANSERIFORMES,Anatidae,アカハシコガモ
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,ホオジロオナガガモ
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,アカハシオナガガモ
157,Anas georgica,SA,ANSERIFORMES,Anatidae,キバシオナガガモ
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,イートンオナガガモ
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,オナガガモ
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,コガモ
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,キバシコガモ
162,Anas andium,SA,ANSERIFORMES,Anatidae,アンデスコガモ
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,インドネシアコガモ
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,アンダマンシコガモ
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,ハイイロコガモ
166,Anas castanea,AU,ANSERIFORMES,Anatidae,アオクビコガモ
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,シロスジコガモ
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,チャイロコガモ
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,クリイロコガモ
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,キャンベルコガモ
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,ウスユキガモ
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,アカハシハジロ
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,ベニバシガモ
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,ネッタイハジロ
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,ホシハジロ
