,IOC,Breeding Range,Order,Family,Lithuanian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,strutis
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Somali Ostrich
2,Rhea americana,SA,RHEIFORMES,Rheidae,amerikinis nandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Darvino nandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,paprastasis kivis
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,šiaurinis kivis
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Okarito miško kivis
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,mažasis kivis
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,didysis kivis
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,šalminis kazuaras
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,nykštukinis kazuaras
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,raudonkaklis kazuaras
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,žilasis tinamas
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,tinamas atsiskyrėlis
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,juodasis tinamas
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,didysis tinamas
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,baltagurklis tinamas
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Bonaparto notocerkas
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Juliaus notocerkas
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,tamsiagalvis notocerkas
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Berlepšo tinamas
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,peleninis tinamas
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,mažasis tinamas
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,venesuelinis tinamas
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,kaštoninis tinamas
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,raibasis tinamas
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,baltabruvis tinamas
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,brazilinis tinamas
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,pilkakojis tinamas
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,raudonkojis tinamas
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,geltonkojis tinamas
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,juodakepuris tinamas
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,krūmyninis tinamas
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,pilkakrūtis tinamas
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Kero tinamas
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,rusvakrūtis tinamas
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,rusvasis tinamas
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Bartleto tinamas
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,trumpasnapis tinamas
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,dryžasis tinamas
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,tinamas tataupa
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,raudonsparnis tinamas
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Huayco Tinamou
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Tačanovskio stepinis tinamas
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,puošnusis stepinis tinamas
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,čilinis stepinis tinamas
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,krūmyninis stepinis tinamas
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,andinis stepinis tinamas
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,kreivasnapis stepinis tinamas
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,baltapilvė notura
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,mažoji notura
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,Darvino notura
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,dėmėtoji notura
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,nykštukinis tinamas
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,pilkasis kuoduotasis tinamas
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,gražusis kuoduotasis tinamas
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,paprastasis tinamas
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,patagoninis tinamas
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,raguotoji pelamedėja
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,juodakaklė pelamedėja
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,kuoduotoji pelamedėja
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,ančiažąsė
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,baltaveidė medžąsė
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,raudonsnapė medžąsė
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,dėmėtoji medžąsė
