,IOC,Breeding Range,Order,Family,Norwegian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,slettestruts
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,somalistruts
2,Rhea americana,SA,RHEIFORMES,Rheidae,stornandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,fjellnandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,sørbrunkivi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,nordbrunkivi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,okaritokivi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,dvergkivi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,flekkivi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,toflikkasuar
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,dvergkasuar
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,enflikkasuar
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,taotinamu
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,eremittinamu
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,svarttinamu
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,stortinamu
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,perletinamu
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,bambustinamu
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,brunbrysttinamu
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,blyhettetinamu
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,sottinamu
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,gråtinamu
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,småtinamu
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,tepuitinamu
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,bruntinamu
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,amazontinamu
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,hvitbryntinamu
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,brasiltinamu
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,gråbeintinamu
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,rødbeintinamu
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,gulbeintinamu
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,svarthettetinamu
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,krattinamu
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,gråbrysttinamu
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,panamatinamu
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,rusthalstinamu
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,jungeltinamu
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,skogtinamu
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,kortnebbtinamu
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,stripetinamu
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,tataupatinamu
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,rødvingetinamu
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,flekkhalstinamu
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,perutinamu
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,fjelltinamu
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,chiletinamu
