,IOC,Breeding Range,Order,Family,Polish
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,struś czerwonoskóry
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,struś szaroskóry
2,Rhea americana,SA,RHEIFORMES,Rheidae,nandu szare
3,Rhea pennata,SA,RHEIFORMES,Rheidae,nandu plamiste
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,kiwi brunatny
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,kiwi północny
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,kiwi szary
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,kiwi mały
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,kiwi plamisty
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,kazuar hełmiasty
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,kazuar mniejszy
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,kazuar jednokoralowy
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu (zwyczajne)
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,kusacz szary
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,kusacz samotny
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,kusacz czarny
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,kusacz duży
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,kusacz kropkowany
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,kusacz górski
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,kusacz rdzawogłowy
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,kusacz ciemnogłowy
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,kusacz brunatny
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,kusacz popielaty
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,kusacz czarnogłowy
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,kusacz białooki
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,kusacz kasztanowaty
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,kusacz falisty
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,kusacz jasnobrewy
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,kusacz rdzawoszyi
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,kusacz szaronogi
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,kusacz czerwononogi
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,kusacz żółtonogi
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,kusacz kapturowy
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,kusacz cynamonowy
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,kusacz okopcony
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,kusacz ciemny
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,kusacz pstry
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,kusacz rdzawy
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,kusacz płowy
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,kusacz krótkodzioby
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,kusacz prążkowany
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,kusacz śniady
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,kusacz rdzawoskrzydły
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,kusacz plamkoszyi
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,kusacz Taczanowskiego
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,kusacz ozdobny
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,kusacz chilijski
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,kusacz zaroślowy
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,kusacz andyjski
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,kusacz krzywodzioby
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,kusacz białobrzuchy
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,kusacz mały
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,kusacz Darwina
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,kusacz kreskowany
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,kusacz karłowaty
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,kusacz pampasowy
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,kusacz leśny
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,kusoń andyjski
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,kusoń patagoński
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,skrzydłoszpon rogaty
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,skrzydłoszpon czarnoszyi
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,skrzydłoszpon obrożny
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,bezpłetwiec
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,drzewica białolica
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,drzewica czarnobrzucha
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,drzewica plamista
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,drzewica dwubarwna
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,drzewica australijska
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,drzewica wędrowna
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,drzewica indyjska
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,pokraczka
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,kapodziób
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,bernikla obrożna
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,bernikla rdzawoszyja
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,bernikla hawajska
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,bernikla białolica
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,gęś tybetańska
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,śnieżyca cesarska
78,Anser anser,PAL,ANSERIFORMES,Anatidae,gęgawa
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,gęś łabędzionosa
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,gęś zbożowa
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,gęś krótkodzioba
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,gęś tundrowa
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,gęś białoczelna
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,gęś mała
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,koskoroba
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,łabędź czarny
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,łabędź czarnoszyi
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,łabędź niemy
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,łabędź czarnodzioby
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,łabędź krzykliwy
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,pstrokaczka
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,krzywonos
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,torpedówka lotna
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,torpedówka magellańska
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,torpedówka falklandzka
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,torpedówka białogłowa
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,zbrojówka
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,gęsiec
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,dziwonos czarnoboczny
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,dziwonos szaroboczny
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,etiopka
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,kazarka egipska
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,grzywoszyjka amazońska
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,grzywoszyjka andyjska
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,magelanka zmienna
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,magelanka skalna
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,magelanka siwogłowa
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,magelanka rudogłowa
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,kazarka nadobna
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,ohar
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,kazarka rdzawa
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,kazarka szarogłowa
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,kazarka obrożna
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,kazarka rajska
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,łopatonos
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,nowogwinejka
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,piżmówka
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,malajka
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,gwinejka
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,mandarynka
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,grzywienka (zwyczajna)
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,kaczuszka afrykańska
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,kaczuszka azjatycka
