,IOC,Breeding Range,Order,Family,Portuguese
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,avestruz-comum
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,avestruz-somali
2,Rhea americana,SA,RHEIFORMES,Rheidae,nandu-grande
3,Rhea pennata,SA,RHEIFORMES,Rheidae,nandu-pequeno
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,quiuí-castanho-do-sul
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,quiuí-castanho-do-norte
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,quiuí-castanho-de-okarito
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,quiuí-malhado-pequeno
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,quiuí-malhado-grande
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,casuar-de-capacete
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,casuar-anão
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,casuar-unicarunculado
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,ema-australiana
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,azulona
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,macuco-solitário
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,macuco-preto
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,inhambu-serra
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,inhambu-galinha
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,inhambu-serrano
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,inhambu-de-peito-pardo
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,inhambu-de-capuz
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,inhambu-tição
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,inhambu-pixuna
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,tururim
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,inhambu-dos-tepuis
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,inhambuguaçu
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,jaó-vermiculado
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,inhambu-de-sobrancelhas
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,inhambu-relógio
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,inhambu-de-pés-cinza
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,inhambu-de-pernas-vermelhas
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,jaó-do-sul
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,inhambu-de-coroa-preta
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,inhambu-do-bosque
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,inhambu-de-peito-azulado
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,inhambu-do-chocó
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,inhambu-anhangá
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,inhambu-carijó
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,inhambu-anhangaí
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,inhambu-chororó
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,inhambu-listrado
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,inhambu-chintã
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,inhambu-perdiz
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,inhambu-uaicu
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,inhambu-peruano-azulado
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,inhambu-adornado
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,inhambu-chileno
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,inhambu-do-chaco
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,inhambu-andino
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,inhambu-do-páramo
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,codorna-do-nordeste
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,codorna-mineira
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,codorna-pálida
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,codorna-amarela
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,codorna-carapé
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,martineta-elegante
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,martineta-do-chaco
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,quiúla-andina
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,quiúla-patagónica
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,anhuma
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,tachã-de-cara-branca
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,tachã-cinzenta
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,ganso-alvinegro
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,irerê
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,marreca-cabocla
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,marreca-malhada
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,marreca-caneleira
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,marreca-emplumada
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,marreca-errante
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,marreca-oriental
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,pato-de-dorso-branco
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,ganso-cinzento
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,ganso-de-faces-pretas
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,ganso-de-peito-ruivo
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,ganso-havaiano
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,ganso-marisco
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,ganso-de-cabeça-listada
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,ganso-imperador
78,Anser anser,PAL,ANSERIFORMES,Anatidae,ganso-bravo
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,ganso-chinês
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,ganso-campestre-da-taiga
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,ganso-de-bico-curto
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,ganso-campestre-da-tundra
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,ganso-de-testa-branca
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,ganso-pequeno
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,capororoca
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,cisne-preto
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,cisne-de-pescoço-preto
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,cisne-mudo
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,cisne-pequeno
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,cisne-bravo
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,pato-sardento
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,pato-azul
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,pato-vapor-patagónico
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,pato-vapor-magalhânico
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,pato-vapor-das-malvinas
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,pato-vapor-de-cabeça-branca
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,pato-das-torrentes
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,pato-ferrão
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,pato-de-crista
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,pato-de-carúncula
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,ganso-de-asa-azul
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,ganso-do-egito
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,pato-corredor
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,ganso-andino
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,ganso-magalhânico
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,ganso-papa-algas
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,ganso-de-cabeça-cinzenta
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,ganso-de-cabeça-ruiva
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,pato-rajá
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,tadorna-comum
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,pato-casarca
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,tadorna-africana
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,pato-australiano
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,pato-do-paraíso
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,pato-de-orelha-rosada
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,marrequinha-papua
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,pato-do-mato
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,pato-de-asa-branca
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,pato-das-florestas-africano
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,pato-mandarim
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,pato-de-crina
