,IOC,Breeding Range,Order,Family,Russian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Африканский страус
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Сомалийский страус
2,Rhea americana,SA,RHEIFORMES,Rheidae,Обыкновенный нанду
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Дарвинов нанду
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Южный киви
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Северный киви
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Рови
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Малый серый киви
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Большой серый киви
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Шлемоносный казуар
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Казуар-мурук
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Оранжевошейный казуар
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Эму
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Тао
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Тинаму-пустынник
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Чёрный тинаму
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Большой тинаму
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Белогорлый тинаму
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Горный нотоцеркус
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Желтогрудый нотоцеркус
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Черношапочный нотоцеркус
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Берлепшов криптуреллюс
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Серый криптуреллус
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Коричневый криптуреллус
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Венесуэльский криптуреллус
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Каштановый криптуреллус
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Полосатый криптуреллус
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Тусклый криптуреллус
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Красногорлый криптуреллус
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Сероногий криптуреллус
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Красноногий криптуреллюс
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Желтоногий криптуреллус
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Красноногий криптуреллус
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Кустарниковый криптуреллус
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Серогорлый криптуреллус
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Криптуреллус-чоко
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Красногрудый криптуреллус
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Рыжий криптуреллус
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Бартлеттов криптуреллус
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,Короткоклювый криптуреллус
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Полосатый криптуреллус
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Татаупа
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,Краснокрылый тинаму
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Рыжий тинаму
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Степной тинаму Тачановского
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Украшенный степной тинаму
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,Чилийский степной тинаму
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,Степной тинаму
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,Андский степной тинаму
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,Кривоклювый степной тинаму
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,Белобрюхий нотура
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,Малый нотура
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,Нотура Дарвина
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,Пятнистый нотура
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,Карликовый тинаму
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,Хохлатый тинаму
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,Красивый хохлатый тинаму
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,Горно-степной тинаму
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,Патагонский горно-степной тинаму
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,Рогатая паламедея
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,Черношейная паламедея
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,Хохлатая паламедея
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,Полулапчатый гусь
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,Белолицая древесная утка
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,Осенняя древесная утка
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,Пятнистая древесная утка
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,Рыжая древесная утка
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,Розовоногая древесная утка
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,Странствующая древесная утка
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,Малая древесная утка
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,Белоспинная утка
