,IOC,Breeding Range,Order,Family,Scientific
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Struthio camelus
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Struthio molybdophanes
2,Rhea americana,SA,RHEIFORMES,Rheidae,Rhea americana
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Rhea pennata
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Apteryx australis
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Apteryx mantelli
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Apteryx rowi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Apteryx owenii
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Apteryx haastii
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Casuarius casuarius
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Casuarius bennetti
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Casuarius unappendiculatus
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Dromaius novaehollandiae
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Tinamus tao
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Tinamus solitarius
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Tinamus osgoodi
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Tinamus major
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Tinamus guttatus
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Nothocercus bonapartei
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Nothocercus julius
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Nothocercus nigrocapillus
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Crypturellus berlepschi
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Crypturellus cinereus
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Crypturellus soui
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Crypturellus ptaritepui
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Crypturellus obsoletus
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Crypturellus undulatus
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Crypturellus transfasciatus
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Crypturellus strigulosus
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Crypturellus duidae
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Crypturellus erythropus
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Crypturellus noctivagus
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Crypturellus atrocapillus
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Crypturellus cinnamomeus
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Crypturellus boucardi
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Crypturellus kerriae
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Crypturellus variegatus
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Crypturellus brevirostris
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Crypturellus bartletti
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,Crypturellus parvirostris
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Crypturellus casiquiare
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Crypturellus tataupa
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,Rhynchotus rufescens
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Rhynchotus maculicollis
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Nothoprocta taczanowskii
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Nothoprocta ornata
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,Nothoprocta perdicaria
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,Nothoprocta cinerascens
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,Nothoprocta pentlandii
