,IOC,Breeding Range,Order,Family,Serbian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Noj
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Somalijski noj
2,Rhea americana,SA,RHEIFORMES,Rheidae,Veliki nandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Mali nandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Južni smeđi kivi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Severni pegavi kivi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Okarito smeđi kivi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Mali pegavi kivi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Veliki pegavi kivi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Južni kazuar
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Patuljasti kazuar
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Severni kazuar
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Sivi tinamu
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Skriveni tinamu
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Crni tinamu
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Veliki tinamu
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Belogrli tinamu
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Planinski tinamu
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Žutogrudi tinamu
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Sivoglavi tinamu
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Berlepšov tinamu
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Pepeljasti tinamu
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Mali tinamu
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Tinamu iz Tepuija
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Smeđi tinamu
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Sitnopirgavi tinamu
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Tinamu sa svetlom obrvom
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Brazilski tinamu
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Sivonogi tinamu
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Crvenonogi tinamu
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Žutonogi tinamu
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Crnokapi tinamu
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Šikarski tinamu
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Sivogrudi tinamu
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Čoko tinamu
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Krupnopirgavi tinamu
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Rđasti tinamu
