,IOC,Breeding Range,Order,Family,Slovak
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,pštros dvojprstý
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,pštros sivonohý
2,Rhea americana,SA,RHEIFORMES,Rheidae,nandu pampový
3,Rhea pennata,SA,RHEIFORMES,Rheidae,nandu škvrnitý
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,kivi južný
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,kivi hnedý
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,kivi hodvábny
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,kivi pásikavý
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,kivi kráľovský
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,kazuár veľkoprilbý
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,kazuár muruk
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,kazuár džungľový
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu hnedý
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,tinama sivá
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,tinama samotárska
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,tinama čierna
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,tinama veľká
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,tinama bielohrdlá
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,tinama horská
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,tinama pralesná
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,tinama kapucňová
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,tinama sadzová
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,tinama popolavá
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,tinama malá
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,tinama bielooká
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,tinama gaštanová
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,tinama vlnkovaná
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,tinama dažďová
