,IOC,Breeding Range,Order,Family,Spanish
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Avestruz común
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Avestruz somalí
2,Rhea americana,SA,RHEIFORMES,Rheidae,Ñandú común
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Ñandú petiso
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Kiwi sureño
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Kiwi norteño
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Kiwi de Okarito
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Kiwi moteado menor
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Kiwi moteado mayor
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Casuario común
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Casuario menor
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Casuario unicarunculado
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Emú
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Tinamú tao
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Tinamú macuco
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Tinamú negro
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Tinamú oliváceo
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Tinamú moteado
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Tinamú serrano
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Tinamú cabecirrojo
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Tinamú cabecinegro
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Tinamú tizón
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Tinamú sombrío
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Tinamú chico
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Tinamú de tepuy
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Tinamú café
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Tinamú ondeado
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Tinamú cejudo
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Tinamú brasileño
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Tinamú patigrís
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Tinamú patirrojo
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Tinamú patigualdo
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Tinamú capirotado
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Tinamú canelo
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Tinamú pizarroso
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Tinamú del Chocó
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Tinamú abigarrado
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Tinamú herrumbroso
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Tinamú de Bartlett
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,Tinamú piquicorto
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Tinamú del Casiquiare
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Tinamú tataupá
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,Tinamú alirrojo
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Tinamú huayco
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Tinamú de Taczanowski
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Tinamú pisacca
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,Tinamú chileno
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,Tinamú montaraz
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,Tinamú andino
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,Tinamú del páramo
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,Tinamú ventriblanco
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,Tinamú menor
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,Tinamú de Darwin
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,Tinamú manchado
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,Tinamú enano
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,Martineta común
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,Martineta chaqueña
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,Kiula andina
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,Kiula patagona
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,Chajá añuma
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,Chajá chicagüire
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,Chajá común
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,Ganso urraca
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,Suirirí cariblanco
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,Suirirí piquirrojo
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,Suirirí moteado
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,Suirirí bicolor
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,Suirirí australiano
