,IOC,Breeding Range,Order,Family,Swedish
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,struts
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,somaliastruts
2,Rhea americana,SA,RHEIFORMES,Rheidae,större nandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,mindre nandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,sydkivi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,brunkivi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,okaritokivi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,mindre fläckkivi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,större fläckkivi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,hjälmkasuar
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,dvärgkasuar
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,enflikig kasuar
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,grå tinamo
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,solitärtinamo
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,svart tinamo
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,större tinamo
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,vitstrupig tinamo
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,höglandstinamo
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,brunbröstad tinamo
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,kamtinamo
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,sottinamo
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,askgrå tinamo
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,mindre tinamo
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,tepuítinamo
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,brun tinamo
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,amazontinamo
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,ljusbrynad tinamo
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,brasilientinamo
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,gråbent tinamo
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,rödbent tinamo
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,gulbent tinamo
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,svarthättad tinamo
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,snårtinamo
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,skiffertinamo
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,chocótinamo
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,broktinamo
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,rosttinamo
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Bartletts tinamo
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,kortnäbbad tinamo
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,strimmig tinamo
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,tataupatinamo
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,rostvingad tinamo
