,IOC,Breeding Range,Order,Family,Turkish
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,Devekuşu
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,Somali Devekuşu
2,Rhea americana,SA,RHEIFORMES,Rheidae,Büyük Rea
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Benekli Rea
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,Boz Kivi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,Kuzey Adası Boz Kivisi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,Okarito Kivisi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,Benekli Küçük Kivi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,Benekli Büyük Kivi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,Güneyli Kasuari
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Küçük Kasuari
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,Kuzeyli Kasuari
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,Emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,Gri Tinamu
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,Yalnız Tinamu
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,Kara Tinamu
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,Büyük Tinamu
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,Benekli Tinamu
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Bonaparte Tinamusu
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Kızılca Tinamu
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Takkeli Tinamu
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Küçük Kara Tinamu
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Karaca Tinamu
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,Küçük Tinamu
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Sarı Gözlü Tinamu
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Kahverengi Tinamu
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,Yazılı Tinamu
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Sürmeli Tinamu
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,Brezilya Tinamusu
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Gri Ayaklı Tinamu
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Kırmızı Ayaklı Tinamu
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Sarı Ayaklı Tinamu
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Kara Alınlı Tinamu
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Çalı Tinamusu
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Kurşuni Tinamu
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Kerr Tinamusu
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Kara Başlı Tinamu
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Kızıl Tinamu
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Bartlett Tinamusu
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,Küçük Gagalı Tinamu
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Çizgili Tinamu
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Tataupa Tinamusu
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,Kırmızı Kanatlı Tinamu
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Boynu Benekli Tinamu
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Taczanowski Tinamusu
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Çil Tinamusu
