,IOC,Breeding Range,Order,Family,Ukrainian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,страус африканський
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,страус сомалійський
2,Rhea americana,SA,RHEIFORMES,Rheidae,нанду великий
3,Rhea pennata,SA,RHEIFORMES,Rheidae,нанду малий
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,ківі бурий
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,ківі північний
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,ківі окаритський
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,ківі малий
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,ківі сірий
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,казуар шоломний
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,казуар малий
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,казуар жовтошиїй
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,ему австралійський
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,тао
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,тинаму-самітник
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,тинаму чорний
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,тинаму великий
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,тинаму білогорлий
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,тинаму бурий
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,тинаму жовтогрудий
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,тинаму чорноголовий
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,татаупа чорний
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,татаупа сірий
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,татаупа малий
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,татаупа білоокий
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,татаупа каштановий
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,татаупа блідий
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,татаупа білобровий
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,татаупа бразильський
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,татаупа сіроногий
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,татаупа червононогий
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,татаупа жовтоногий
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,татаупа темноголовий
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,татаупа чагарниковий
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,татаупа сірогрудий
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,татаупа панамський
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,татаупа амазонійський
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,татаупа короткодзьобий
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,татаупа перуанський
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,татаупа червонодзьобий
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,татаупа колумбійський
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,татаупа сіроголовий
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,інамбу рудошиїй
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,вайпу
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,інамбу перуанський
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,інамбу рудогрудий
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,інамбу чилійський
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,інамбу чагарниковий
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,інамбу андійський
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,інамбу криводзьобий
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,нотура білочеревий
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,нотура-крихітка
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,нотура Дарвіна
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,нотура строкатий
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,інамбу карликовий
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,інамбу чубатий
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,інамбу ошатний
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,інамбу червоногузий
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,інамбу патагонський
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,паламедея
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,чайя колумбійська
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,чайя аргентинська
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,урако
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,свистач білоголовий
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,свистач червонодзьобий
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,свистач плямистобокий
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,свистач рудий
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,свистач австралійський
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,свистач філіпінський
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,свистач індійський
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,стромярка
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,гуска тасманійська
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,казарка чорна
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,казарка червоновола
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,казарка гавайська
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,казарка білощока
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,гуска гірська
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,білошиєць
78,Anser anser,PAL,ANSERIFORMES,Anatidae,гуска сіра
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,гуска китайська
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,гуменник великий
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,гуменник короткодзьобий
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,гуменник тундровий
